,ax,ay,az,gx,gy,gz,label,segment_ID,animal_ID,timestamp_ms
219,-5.45095,7.48038,-3.60601,-16.1585,106.768,41.5244,walking,1,fG1,2191
220,-6.11225,7.75592,-4.04927,-2.13415,101.159,49.5122,walking,1,fG1,2201
221,-6.58426,7.83978,-4.10438,7.56098,89.0244,57.3171,walking,1,fG1,2211
222,-6.83345,7.59539,-3.89114,14.0854,72.561,63.9634,walking,1,fG1,2221
223,-6.89814,7.20723,-3.53892,22.3171,57.5,66.6463,walking,1,fG1,2231
224,-6.95086,6.88137,-3.23702,33.5366,44.7561,65.3049,walking,1,fG1,2241
225,-6.91492,6.6226,-3.21546,47.9268,31.2195,61.2805,walking,1,fG1,2251
226,-6.63698,6.3806,-3.05732,62.0122,16.8902,56.0366,walking,1,fG1,2261
227,-6.28955,6.22247,-3.03815,72.1341,4.39024,50.3049,walking,1,fG1,2271
228,-5.99724,6.0811,-3.13879,79.5122,-4.57317,44.0244,walking,1,fG1,2281
229,-5.6019,5.82473,-2.97586,84.8171,-11.5244,36.7683,walking,1,fG1,2291
230,-5.04602,5.50126,-2.75542,88.6585,-18.7195,29.1463,walking,1,fG1,2301
231,-4.50691,5.25687,-2.61166,89.878,-24.4512,20.7317,walking,1,fG1,2311
232,-4.10918,5.13228,-2.75542,88.5976,-27.3171,11.2805,walking,1,fG1,2321
233,-3.80967,5.12988,-2.90158,82.8049,-29.0244,1.46341,walking,1,fG1,2331
234,-3.7354,5.39105,-3.21546,70.7927,-32.1951,-8.53659,walking,1,fG1,2341
235,-4.10199,6.16496,-3.86239,50.8537,-39.939,-17.9878,walking,1,fG1,2351
236,-5.09394,7.84697,-5.28083,18.3537,-54.8171,-26.4634,walking,1,fG1,2361
237,-6.80709,10.2358,-6.89335,-25.0,-72.8049,-35.3659,walking,1,fG1,2371
238,-7.96677,11.8459,-6.40696,-64.5732,-86.0976,-48.9634,walking,1,fG1,2381
239,-7.88051,12.2389,-4.01333,-78.4146,-81.8902,-67.3171,walking,1,fG1,2391
240,-8.02427,13.341,-2.21392,-63.9634,-62.8659,-82.622,walking,1,fG1,2401
241,-8.07938,13.9904,-3.1891,-46.0976,-27.1341,-94.5122,walking,1,fG1,2411
242,-7.60018,12.4665,-3.65154,-26.2805,24.878,-105.732,walking,1,fG1,2421
243,-6.69209,10.0777,-3.21067,-14.4512,50.4268,-112.622,walking,1,fG1,2431
244,-6.04516,8.1297,-3.57007,-12.2561,50.061,-116.646,walking,1,fG1,2441
245,-5.52522,6.91971,-3.80248,-11.2805,41.1585,-120.854,walking,1,fG1,2451
246,-4.78725,5.86546,-3.69227,-11.8902,32.439,-124.451,walking,1,fG1,2461
247,-3.65872,4.73693,-3.00221,-11.8293,26.7073,-125.122,walking,1,fG1,2471
248,-2.43196,3.46225,-1.72274,-10.6098,28.1098,-121.159,walking,1,fG1,2481
249,-1.94796,2.92794,-1.29625,-2.9878,35.6707,-113.598,walking,1,fG1,2491
250,-2.30737,3.78811,-1.93119,6.46341,40.122,-105.183,walking,1,fG1,2501
251,-3.82165,6.36143,-4.22418,-9.93902,31.4024,-97.2561,walking,1,fG1,2511
252,-6.25601,9.76139,-7.33901,-56.5854,16.4024,-92.1951,walking,1,fG1,2521
253,-8.10334,12.155,-7.50913,-99.8171,8.96341,-92.0732,walking,1,fG1,2531
254,-9.19832,12.8355,-5.26166,-125.427,2.0122,-92.622,walking,1,fG1,2541
255,-9.23187,12.0544,-3.10764,-114.512,-7.86585,-92.5,walking,1,fG1,2551
256,-7.90926,10.0944,-1.44959,-72.5,-7.5,-92.7439,walking,1,fG1,2561
257,-6.34706,8.39566,-0.805063,-23.5976,1.52439,-89.939,walking,1,fG1,2571
258,-5.25927,7.46121,-1.28666,8.78049,8.84146,-81.9512,walking,1,fG1,2581
259,-4.65786,6.75678,-2.27382,20.4878,12.1341,-69.7561,walking,1,fG1,2591
260,-4.23856,6.22247,-2.63562,19.4512,11.7073,-56.2195,walking,1,fG1,2601
261,-4.0972,6.10027,-2.99742,5.2439,4.63415,-40.4268,walking,1,fG1,2611
262,-4.08521,6.37102,-3.58445,-19.3293,-4.69512,-22.1951,walking,1,fG1,2621
263,-4.04688,6.75199,-4.0325,-50.4878,-10.122,-1.95122,walking,1,fG1,2631
264,-4.04448,6.85022,-3.88155,-82.8049,-9.5122,19.3293,walking,1,fG1,2641
265,-4.06125,6.49801,-3.01659,-107.012,-3.59756,38.3537,walking,1,fG1,2651
266,-4.26971,6.25601,-2.4703,-117.073,6.28049,52.9268,walking,1,fG1,2661
267,-4.70339,6.51718,-2.61885,-120.488,21.7073,62.0122,walking,1,fG1,2671
268,-5.24489,6.75438,-3.04534,-123.171,40.4878,65.9146,walking,1,fG1,2681
269,-5.56835,6.59624,-2.94471,-123.537,57.8659,65.9146,walking,1,fG1,2691
270,-5.75764,6.33747,-2.79136,-120.854,74.0244,61.9512,walking,1,fG1,2701
271,-6.27518,6.45009,-3.22744,-115.122,88.9634,54.939,walking,1,fG1,2711
272,-6.90054,6.71844,-4.05167,-110.915,98.8415,46.9512,walking,1,fG1,2721
273,-7.15452,6.66573,-4.49493,-111.463,104.268,39.5122,walking,1,fG1,2731
274,-7.02274,6.10746,-4.31763,-112.073,107.5,32.0122,walking,1,fG1,2741
275,-6.76636,5.40303,-3.94145,-105.549,110.793,23.2317,walking,1,fG1,2751
276,-6.65614,4.94539,-3.84082,-94.2073,111.768,13.9024,walking,1,fG1,2761
277,-6.6226,4.74412,-3.96781,-84.0244,108.11,6.28049,walking,1,fG1,2771
278,-6.70886,4.83038,-4.28169,-78.3537,101.28,2.13415,walking,1,fG1,2781
279,-7.03232,5.1179,-4.55483,-76.0366,92.5,-0.0609756,walking,1,fG1,2791
280,-7.45402,5.44855,-4.71776,-74.878,83.1098,-2.07317,walking,1,fG1,2801
281,-7.99792,5.67617,-4.6962,-70.5488,76.7683,-5.73171,walking,1,fG1,2811
282,-8.59453,5.7792,-4.54525,-59.3293,68.5366,-9.63415,walking,1,fG1,2821
283,-9.06415,5.83671,-4.32002,-40.6707,52.8049,-12.0732,walking,1,fG1,2831
284,-9.31094,6.19611,-4.1547,-18.7195,32.2561,-11.7683,walking,1,fG1,2841
285,-9.29656,6.70167,-3.91031,-0.243902,14.3902,-10.0,walking,1,fG1,2851
286,-9.00425,6.65135,-3.46465,15.122,7.56098,-10.4878,walking,1,fG1,2861
287,-9.21989,6.6825,-3.20827,35.122,2.31707,-13.2317,walking,1,fG1,2871
288,-9.2127,6.78553,-2.73626,59.6951,-10.6707,-17.378,walking,1,fG1,2881
